Save: 131, Episode: 460/10000, Score: 2213.335968408051, Epsilon: 0.9671900800007123, Play_time: 453, Spawn distance: 55.865092091822426
Save: 132, Episode: 461/10000, Score: 6965.621824167058, Epsilon: 0.9671293600007136, Play_time: 184, Spawn distance: 54.065375816448885
Save: 133, Episode: 463/10000, Score: 1810.7812619562974, Epsilon: 0.9668759200007191, Play_time: 317, Spawn distance: 79.88317853603209
Save: 134, Episode: 464/10000, Score: 2078.310814220686, Epsilon: 0.9668416000007198, Play_time: 102, Spawn distance: 70.72779573671964
Save: 135, Episode: 468/10000, Score: 11210.02994409767, Epsilon: 0.9663479200007306, Play_time: 453, Spawn distance: 55.78392243539028
Save: 136, Episode: 470/10000, Score: 9208.223107897275, Epsilon: 0.9661486000007349, Play_time: 453, Spawn distance: 59.74684361710323
Save: 137, Episode: 471/10000, Score: 2266.887319831221, Epsilon: 0.9660271600007375, Play_time: 368, Spawn distance: 48.49797308479518
Save: 138, Episode: 473/10000, Score: 3505.3649846043663, Epsilon: 0.965864800000741, Play_time: 453, Spawn distance: 65.41233392811394
Save: 139, Episode: 476/10000, Score: 1611.0924793293657, Epsilon: 0.9654952000007491, Play_time: 325, Spawn distance: 77.21265197952113
Save: 140, Episode: 479/10000, Score: 3816.1194313842648, Epsilon: 0.9651374800007568, Play_time: 453, Spawn distance: 61.8693927380123
Save: 141, Episode: 489/10000, Score: 8586.947744232071, Epsilon: 0.9638623600007845, Play_time: 453, Spawn distance: 54.6654228807164
Save: 142, Episode: 490/10000, Score: 2670.334712398686, Epsilon: 0.9638135200007856, Play_time: 147, Spawn distance: 54.53426465650777
Save: 143, Episode: 495/10000, Score: 6135.824526514113, Epsilon: 0.9633370000007959, Play_time: 352, Spawn distance: 62.63759270859083
Save: 144, Episode: 496/10000, Score: 4195.590854192038, Epsilon: 0.9632960800007968, Play_time: 124, Spawn distance: 48.42035688347525
Save: 145, Episode: 499/10000, Score: 4407.735919408727, Epsilon: 0.9628486000008065, Play_time: 453, Spawn distance: 54.145292528740875
Save: 146, Episode: 500/10000, Score: 2.961928986752343, Epsilon: 0.9628090000008074, Play_time: 118, Spawn distance: 79.35977284724417
Save: 147, Episode: 502/10000, Score: 5013.886326652982, Epsilon: 0.9625106800008139, Play_time: 453, Spawn distance: 54.31206003721138
Save: 148, Episode: 505/10000, Score: 13484.471164938255, Epsilon: 0.9623298400008178, Play_time: 380, Spawn distance: 48.53650229251417
Save: 149, Episode: 509/10000, Score: 4985.735384002064, Epsilon: 0.9618968800008272, Play_time: 191, Spawn distance: 52.54223175590405
Save: 150, Episode: 511/10000, Score: 1017.3338163206591, Epsilon: 0.9616421200008327, Play_time: 453, Spawn distance: 76.48305587567883
Save: 151, Episode: 514/10000, Score: 4202.366489274214, Epsilon: 0.9614164000008376, Play_time: 136, Spawn distance: 56.45986085201976
Save: 152, Episode: 515/10000, Score: 5705.922024324501, Epsilon: 0.9612672400008409, Play_time: 453, Spawn distance: 55.90177350228599
Save: 153, Episode: 518/10000, Score: 8165.405436095245, Epsilon: 0.9610586800008454, Play_time: 398, Spawn distance: 77.46375136001913
Save: 154, Episode: 519/10000, Score: 2325.0052059244717, Epsilon: 0.9610138000008464, Play_time: 135, Spawn distance: 59.25168056247452
Save: 155, Episode: 521/10000, Score: 1352.5684277633168, Epsilon: 0.9607590400008519, Play_time: 320, Spawn distance: 78.4285480532165
Save: 156, Episode: 523/10000, Score: 6259.8416685662505, Epsilon: 0.9606085600008551, Play_time: 309, Spawn distance: 62.35800753715008
Save: 157, Episode: 524/10000, Score: 1000.0, Epsilon: 0.9606019600008553, Play_time: 21, Spawn distance: 47.72492569693118
Save: 158, Episode: 525/10000, Score: 5010.477846776851, Epsilon: 0.9604528000008585, Play_time: 453, Spawn distance: 83.477527342513
Save: 159, Episode: 528/10000, Score: 5133.8842347189375, Epsilon: 0.9601663600008647, Play_time: 285, Spawn distance: 55.7144625573694
Save: 160, Episode: 529/10000, Score: 5615.239033516965, Epsilon: 0.960017200000868, Play_time: 453, Spawn distance: 80.74923579608796
Save: 161, Episode: 530/10000, Score: 1855.2286854082267, Epsilon: 0.9599564800008693, Play_time: 182, Spawn distance: 71.05540804959082
Save: 162, Episode: 533/10000, Score: 4303.350034168814, Epsilon: 0.9595723600008776, Play_time: 260, Spawn distance: 71.49666483988713
Save: 163, Episode: 534/10000, Score: 2665.751952224732, Epsilon: 0.9594232000008809, Play_time: 453, Spawn distance: 74.83454897735852
Save: 164, Episode: 536/10000, Score: 1018.0305734641096, Epsilon: 0.9592608400008844, Play_time: 453, Spawn distance: 70.31979711505787
Save: 165, Episode: 537/10000, Score: 10210.649405638578, Epsilon: 0.9591116800008876, Play_time: 453, Spawn distance: 58.815365977152645
Save: 166, Episode: 538/10000, Score: 5693.712750298827, Epsilon: 0.9590126800008898, Play_time: 301, Spawn distance: 54.338998805534985
Save: 167, Episode: 540/10000, Score: 6598.63501210567, Epsilon: 0.9588226000008939, Play_time: 183, Spawn distance: 55.75872449009782
Save: 168, Episode: 541/10000, Score: 1694.8242108101363, Epsilon: 0.9587777200008949, Play_time: 134, Spawn distance: 54.4090574996936
Save: 169, Episode: 548/10000, Score: 8211.582805287282, Epsilon: 0.9580385200009109, Play_time: 453, Spawn distance: 48.914478169653485
Save: 170, Episode: 549/10000, Score: 2799.746463656942, Epsilon: 0.9579395200009131, Play_time: 301, Spawn distance: 53.59820275713268
Save: 171, Episode: 552/10000, Score: 1859.9999034388416, Epsilon: 0.9576161200009201, Play_time: 298, Spawn distance: 89.60423762547268
Save: 172, Episode: 553/10000, Score: 1790.1703627391296, Epsilon: 0.9575606800009213, Play_time: 166, Spawn distance: 49.303832673703596
Save: 173, Episode: 554/10000, Score: 4544.255724653833, Epsilon: 0.9574616800009235, Play_time: 300, Spawn distance: 56.09497258220698
Save: 174, Episode: 556/10000, Score: 6448.590359354119, Epsilon: 0.9571950400009293, Play_time: 356, Spawn distance: 71.21424942101473
Save: 175, Episode: 560/10000, Score: 10700.165572408314, Epsilon: 0.9567739600009384, Play_time: 339, Spawn distance: 85.42561476422672
Save: 176, Episode: 562/10000, Score: 6004.242066306903, Epsilon: 0.9565112800009441, Play_time: 343, Spawn distance: 75.4341875194523
Save: 177, Episode: 565/10000, Score: 1590.7179378588532, Epsilon: 0.9561878800009511, Play_time: 74, Spawn distance: 46.68463141602864
Save: 178, Episode: 567/10000, Score: 2999.4853200319203, Epsilon: 0.9560123200009549, Play_time: 307, Spawn distance: 54.778578593811964
Save: 179, Episode: 568/10000, Score: 3311.4302934073194, Epsilon: 0.955960840000956, Play_time: 156, Spawn distance: 52.39681045110491
Save: 180, Episode: 569/10000, Score: 1373.2170439599188, Epsilon: 0.9559106800009571, Play_time: 152, Spawn distance: 50.09001210861116
Save: 181, Episode: 572/10000, Score: 5004.445739283275, Epsilon: 0.955549000000965, Play_time: 193, Spawn distance: 47.39529646975163
Save: 182, Episode: 574/10000, Score: 814.6811764347771, Epsilon: 0.9552506800009715, Play_time: 453, Spawn distance: 56.57869693170106
Save: 183, Episode: 575/10000, Score: 1216.0044655633112, Epsilon: 0.9551015200009747, Play_time: 453, Spawn distance: 69.94597708345961
Save: 184, Episode: 576/10000, Score: 3567.0347428751975, Epsilon: 0.9550500400009758, Play_time: 156, Spawn distance: 80.39920763667536
Save: 185, Episode: 577/10000, Score: 7020.547628381171, Epsilon: 0.9549272800009785, Play_time: 373, Spawn distance: 63.30069082564635
Save: 186, Episode: 578/10000, Score: 3135.8845829842066, Epsilon: 0.9547781200009817, Play_time: 453, Spawn distance: 77.9065631018913
